0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
1745;-51.75;4.75;14;59;59;16;8;21;22;27;46;124;121;38;14;17;5;3;16;14;69;25;78;25;43;9;0;5;2;1;2;8;15;54;196;37;31;20
1746;-51.25;4.75;25;43;25;22;12;14;14;21;34;48;46;36;17;7;8;3;6;10;24;23;45;31;14;5;1;5;3;5;0;7;14;22;37;21;14;16
1747;-50.75;4.75;16;37;27;17;9;26;17;25;46;27;33;19;10;18;3;0;12;10;25;31;29;32;14;8;0;4;2;6;0;7;10;6;14;34;6;29
1748;-50.25;4.75;16;34;28;14;4;17;22;22;22;18;29;21;9;16;8;2;6;12;31;30;27;19;17;5;1;4;6;3;1;2;27;4;18;31;18;6
1749;-49.75;4.75;16;31;27;10;14;12;22;13;29;20;26;32;16;11;5;3;12;16;21;22;24;23;6;7;5;8;4;1;0;6;5;7;3;2;19;3
1750;-49.25;4.75;9;25;35;11;9;12;25;21;9;10;30;26;14;10;6;5;29;9;27;24;13;11;14;2;0;4;2;1;0;2;6;5;3;14;11;6
1751;-48.75;4.75;18;38;20;18;13;13;22;13;11;5;18;18;16;9;7;3;16;21;23;21;15;14;8;4;1;5;2;15;2;5;4;3;2;20;22;5
1752;-48.25;4.75;12;40;30;6;24;11;19;10;11;0;11;28;17;5;4;8;10;11;30;20;18;17;11;0;1;4;2;114;0;2;6;10;15;27;34;2
1753;-47.75;4.75;10;36;31;16;38;29;27;9;11;9;29;40;25;3;12;6;8;7;42;10;10;18;11;1;1;7;2;16;0;4;6;6;8;8;22;6
1754;-47.25;4.75;12;29;33;22;33;20;29;12;9;7;48;14;14;8;6;2;13;20;42;12;10;8;1;4;2;11;7;5;1;1;2;9;2;7;15;16
1755;-46.75;4.75;35;43;31;16;7;27;24;12;11;10;17;13;9;7;6;1;13;18;38;7;13;10;6;5;3;17;4;20;3;1;3;11;4;8;15;9
1756;-46.25;4.75;80;46;42;22;7;33;28;19;8;10;17;15;23;10;4;6;16;12;19;15;12;10;5;10;2;13;6;56;1;2;5;7;4;26;53;12
1757;-45.75;4.75;53;33;33;20;8;25;26;12;8;16;18;25;9;6;6;8;17;14;19;15;9;8;9;4;3;27;8;63;1;3;4;1;7;11;69;7
1758;-45.25;4.75;16;31;26;22;9;25;21;15;6;27;12;18;11;9;12;8;9;12;18;10;10;16;8;1;1;19;5;13;1;2;4;1;6;5;46;13
1759;-44.75;4.75;17;33;22;43;4;15;23;15;6;6;20;22;20;8;8;31;9;11;23;15;17;33;8;1;3;19;4;11;2;0;27;1;4;5;13;11
